instancia,ciclo_ajustado,ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,ciclo_sequencial
182,14,20.201,1.572,2195.4,7.748,9.179,141.96,116.56,1.945,0,8.538,8.483,68.533,53.656,58.531,55.723,49.363,0.652,50
182,15,20.134,1.559,2190.6,7.763,9.173,141.96,116.54,2.031,0,8.559,8.487,68.533,53.734,58.508,55.734,49.367,0.635,51
182,16,19.966,1.56,2192.8,7.705,9.176,142.07,116.75,2.031,0,8.554,8.498,68.563,53.801,58.535,55.734,49.441,0.627,52
182,17,20.151,1.577,2190.8,7.714,9.177,142.16,116.77,2.031,0,8.519,8.46,68.563,53.801,58.523,55.82,49.434,0.631,53
182,18,20.255,1.582,2192.6,7.741,9.204,141.8,116.33,1.969,0,8.507,8.456,68.627,53.898,58.531,55.82,49.434,0.619,54
182,19,20.161,1.585,2191.8,7.749,9.189,141.74,116.27,2.055,0,8.532,8.472,68.627,53.973,58.547,55.809,49.441,0.62,55
182,20,20.326,1.592,2336.8,7.919,9.185,152.41,126.95,2.187,0,8.544,8.49,71.007,53.961,58.574,55.871,49.445,0.635,56
182,21,20.297,1.594,2325.8,7.733,9.174,152.09,126.73,2.047,0,8.573,8.516,71.007,54.043,58.625,55.895,49.434,0.632,57
182,22,20.181,1.574,2327,7.668,9.201,152.02,126.49,2.187,0,8.576,8.521,69.933,54.059,58.625,55.875,49.449,0.638,58
182,23,20.144,1.576,2326,7.756,9.203,152.1,126.83,1.953,0,8.524,8.476,69.933,54.141,58.641,55.809,49.441,0.65,59
182,24,20.122,1.579,2327.8,7.695,9.199,152.02,126.81,2.008,0,8.526,8.458,70.177,54.152,58.687,55.816,49.445,0.649,60
1008,1,27.498,1.72,2778.8,0,9.637,190.09,0.187,0,0,9.025,8.942,66.571,45.883,50.715,47.937,41.328,0.617,1
1008,2,27.512,1.718,2887.6,0,9.62,190.57,0,0,0,9.039,8.96,0,45.809,50.715,47.93,41.324,0.643,2
1008,3,27.686,1.73,2888,0.001,9.626,190.42,0,0,0,9.061,8.97,0,45.754,50.672,47.93,41.312,0.674,3
1008,4,27.548,1.715,2890,0,9.646,190.48,0,0,0,9.024,8.95,0,45.727,50.641,47.941,41.336,0.688,4
1008,5,27.756,1.737,2887.8,0.001,9.643,190.55,0,0,0,9.014,8.928,0,45.617,50.633,48.016,41.301,0.682,5
1008,6,27.743,1.739,2887.6,0.003,9.637,190.48,0,0,0,9.022,8.941,0,45.551,50.648,48.008,41.328,0.674,6
1008,7,27.722,1.735,2891.4,0.005,9.636,190.5,0,0,0,9.061,8.979,0,45.562,50.586,48.031,41.328,0.678,7
1008,8,27.754,1.74,2887.8,0.001,9.631,190.6,0,0,0,9.056,8.973,0,45.473,50.559,48.031,41.316,0.684,8
1008,9,27.724,1.732,2887.8,0.003,9.643,190.52,0,0,0,9.017,8.941,0,45.473,50.539,48.02,41.324,0.687,9
1008,10,27.676,1.731,2537.8,13.275,9.628,152.32,123.77,3.656,0,9.005,8.926,67.882,45.375,50.469,48.023,41.34,0.686,10
1008,11,27.681,1.734,2263.8,7.634,9.62,143.6,117.94,2.117,0,9.039,8.963,67.882,45.383,50.469,48.031,41.352,0.637,11
1008,12,27.71,1.732,2259.8,7.643,9.617,143.3,117.68,2.055,0,9.057,8.98,66.43,45.391,50.484,48.016,41.34,0.614,12
1008,13,27.905,1.745,2259.8,7.631,9.632,143.6,117.89,2.031,0,9.016,8.946,66.43,45.383,50.484,48.02,41.352,0.621,13
1008,14,27.798,1.731,2263.8,7.645,9.632,143.15,117.52,2.156,0,8.988,8.913,66.313,45.469,50.523,48.02,41.355,0.629,14
1008,15,27.744,1.733,2261.4,7.624,9.622,143.26,117.87,1.977,0,9.017,8.941,66.313,45.551,50.551,48.02,41.352,0.622,15
1008,16,27.854,1.739,2255.6,7.648,9.627,143.37,117.7,2.008,0,9.055,8.974,66.366,45.566,50.539,48.02,41.355,0.612,16
1008,17,28.102,1.761,2257.6,7.638,9.649,143.55,117.94,2.141,0,9.067,8.983,66.366,45.566,50.551,48.113,41.34,0.595,17
1008,18,28.053,1.754,2261.4,7.589,9.664,143.57,118.01,2.156,0,9.03,8.967,66.331,45.633,50.562,48.113,41.352,0.59,18
458,1,19.335,1.479,2686.4,0.001,9.033,189.9,0,0,0,8.505,8.448,68.868,56.184,60.684,57.531,51.465,0.596,19
458,2,19.27,1.478,2835.4,0,9.029,190.06,0,0,0,8.512,8.466,0,56.105,60.664,57.527,51.453,0.684,20
458,3,19.486,1.492,2830,0.001,9.064,190.16,0,0.031,0,8.487,8.437,0,56.004,60.594,57.531,51.469,0.691,21
458,4,19.328,1.48,2831.4,0.006,9.079,190.15,0,0,0,8.465,8.411,0,56,60.582,57.531,51.465,0.706,22
458,5,19.315,1.485,2830,0,9.079,189.77,0,0,0,8.455,8.406,0,55.941,60.586,57.535,51.465,0.882,23
458,6,19.04,1.464,2834.4,0.005,9.032,190.11,0,0.086,0,8.457,8.415,0,55.844,60.504,57.527,51.535,0.912,24
458,7,19.22,1.487,2834.4,0.003,9.082,190.11,0,0.094,0,8.481,8.436,0,55.777,60.461,57.617,51.547,0.873,25
458,8,19.203,1.487,2833.4,0.003,9.031,190.06,0,0.117,0,8.499,8.451,0,55.75,60.41,57.613,51.543,0.981,26
458,9,19.311,1.476,2830,0.004,9.054,190.25,0,0.094,0,8.505,8.464,0,55.695,60.344,57.531,51.457,0.919,27
458,10,19.204,1.466,2440,12.269,9.069,148.34,120.34,3.281,0,8.482,8.439,73.543,55.613,60.328,57.531,51.484,0.814,28
458,11,19.246,1.469,2202,8.013,9.06,141.58,116.13,2.187,0,8.458,8.403,73.543,55.543,60.324,57.527,51.48,0.729,29
458,12,19.251,1.472,2195.4,7.789,9.056,141.4,115.94,2.117,0,8.453,8.389,69.577,55.523,60.328,57.527,51.484,0.686,30
458,13,19.282,1.475,2192.8,7.764,9.031,141.58,116.07,2.031,0,8.441,8.405,69.577,55.508,60.336,57.531,51.484,0.653,31
458,14,19.191,1.471,2193.6,7.818,9.033,141.53,115.94,2.023,0,8.481,8.417,68.97,55.59,60.328,57.52,51.492,0.622,32
458,15,18.925,1.448,2191.8,7.828,9.023,141.48,116.02,2.047,0,8.493,8.439,68.97,55.691,60.355,57.527,51.492,0.602,33
458,16,18.983,1.449,2191.4,7.859,9.029,141.53,115.87,2.023,0,8.498,8.443,68.802,55.723,60.324,57.531,51.57,0.599,34
458,17,19.241,1.468,2189.6,7.778,9.016,141.51,115.94,1.977,0,8.479,8.432,68.802,55.75,60.34,57.531,51.469,0.595,35
458,18,19.45,1.486,2192,7.771,9.062,141.45,116.04,2.047,0,8.467,8.398,68.6,55.77,60.391,57.527,51.441,0.587,36
458,19,19.748,1.513,2191,7.764,9.078,141.53,115.94,2.078,0,8.448,8.405,68.6,55.852,60.41,57.516,51.332,0.596,37
458,20,19.713,1.509,2321.4,7.626,9.055,151.27,125.77,2.078,0,8.464,8.415,54.914,55.855,60.422,57.52,51.324,0.624,38
458,21,19.738,1.519,2321.6,7.669,9.064,151.21,125.71,2.133,0,8.489,8.433,54.914,55.941,60.426,57.52,51.332,0.619,39
458,22,19.759,1.518,2322.8,7.718,9.022,151.27,125.87,1.914,0,8.506,8.459,69.701,55.996,60.422,57.609,51.406,0.619,40
458,23,19.742,1.509,2323,7.706,9.067,151.31,126.04,1.945,0,8.507,8.453,69.701,56,60.445,57.613,51.398,0.627,41
458,24,19.692,1.509,2323.2,7.712,9.039,151.3,125.87,2,0,8.486,8.432,69.463,56.016,60.473,57.602,51.414,0.618,42
458,25,19.439,1.482,2321.8,7.674,9.071,151.16,125.83,2,0,8.468,8.408,69.463,56.07,60.508,57.602,51.465,0.622,43
458,26,19.444,1.483,2325.8,7.798,9.074,151.33,126.02,2.086,0,8.452,8.405,69.517,56.023,60.539,57.527,51.453,0.611,44
458,27,19.3,1.479,2324.8,7.708,9.072,151.1,125.92,2.078,0,8.468,8.418,69.517,56.027,60.539,57.527,51.48,0.609,45
458,28,19.252,1.478,2323.4,7.604,9.071,151.45,125.79,1.937,0,8.498,8.449,69.586,56.082,60.547,57.52,51.496,0.596,46
458,29,19.424,1.486,2323.8,7.712,9.042,151.03,125.89,2.031,0,8.519,8.469,69.586,56.078,60.586,57.527,51.445,0.594,47
458,30,19.34,1.482,2450.2,7.689,9.062,160.94,135.7,1.891,0,8.528,8.482,56.83,56.102,60.57,57.531,51.48,0.607,48
458,31,19.235,1.466,2455.8,7.741,9.082,160.99,135.72,1.969,0,8.499,8.441,56.83,56.094,60.57,57.52,51.484,0.607,49
458,32,19.07,1.448,2454,7.563,9.092,161.02,135.68,1.992,0,8.477,8.418,70.199,56.176,60.57,57.52,51.48,0.606,50
458,33,19.1,1.462,2455.4,7.611,9.066,161.1,135.61,2.086,0,8.454,8.406,70.199,56.195,60.586,57.437,51.492,0.607,51
458,34,19.1,1.459,2452.8,7.646,9.057,161.16,135.69,1.953,0,8.458,8.417,70.398,56.172,60.57,57.437,51.484,0.622,52
458,35,18.878,1.441,2455,7.575,9.045,161.1,135.66,1.977,0,8.488,8.429,70.398,56.262,60.641,57.437,51.48,0.622,53
458,36,18.916,1.441,2454.6,7.583,9.036,160.99,135.92,2.109,0,8.505,8.447,70.406,56.27,60.668,57.398,51.492,0.615,54
458,37,18.959,1.441,2453.8,7.753,9.058,161.08,135.69,1.937,0,8.516,8.462,70.406,56.254,60.695,57.395,51.484,0.611,55
458,38,18.891,1.438,2453.8,7.657,9.055,160.94,135.48,1.945,0,8.489,8.439,70.325,56.355,60.707,57.398,51.484,0.606,56
458,39,18.88,1.438,2453.6,7.691,9.038,160.82,135.86,1.953,0,8.463,8.403,70.325,56.336,60.746,57.406,51.484,0.603,57
458,40,18.872,1.426,2325,7.781,9.056,151.16,125.87,2.086,0,8.462,8.406,82.078,56.359,60.758,57.359,51.492,0.603,58
458,41,18.809,1.431,2320.8,7.726,9.035,151.16,125.88,2.008,0,8.465,8.422,82.078,56.336,60.773,57.355,51.496,0.595,59
458,42,18.875,1.437,2321.4,7.634,9.042,151.25,125.84,2.023,0,8.486,8.439,69.788,56.348,60.785,57.355,51.492,0.598,60
1667,1,47.206,2.155,2920,0,10.179,191.6,0.094,0,9.734,9.967,9.846,67.672,35.648,41.316,38.445,30.613,0.558,1
1667,2,47.446,2.146,2953.2,0.003,10.208,191.62,0,0,9.684,9.931,9.812,0,35.68,41.312,38.414,30.605,0.568,2
1667,3,47.156,2.148,2951.2,0,10.182,191.54,0,0,9.705,9.932,9.81,0,35.598,41.328,38.414,30.602,0.576,3
1667,4,47.301,2.175,2952,0.001,10.181,191.46,0,0,9.729,9.974,9.853,0,35.508,41.25,38.426,30.605,0.58,4
1667,5,47.594,2.182,2951.8,0.001,10.224,191.44,0,0,9.729,9.95,9.828,0,35.516,41.262,38.508,30.613,0.581,5
1667,6,47.463,2.165,2952.2,0,10.196,191.46,0,0,9.67,9.918,9.802,0,35.422,41.242,38.496,30.605,0.584,6
1667,7,47.537,2.17,2951.4,0.003,10.182,191.55,0,0,9.727,9.95,9.825,0,35.414,41.211,38.508,30.613,0.585,7
1667,8,47.594,2.171,2951.8,0,10.186,191.44,0,0,9.701,9.955,9.84,0,35.328,41.18,38.5,30.621,0.589,8
1667,9,47.202,2.149,2952,0.001,10.182,191.48,0,0,9.678,9.91,9.772,0,35.32,41.148,38.512,30.621,0.586,9
1667,10,47.136,2.129,2531.4,11.736,10.181,152.84,124.69,3.531,10.132,9.908,9.794,68.925,35.242,41.129,38.418,30.633,0.593,10
1667,11,47.169,2.135,2366.8,8.138,10.18,147.06,121.02,2.391,10.171,9.931,9.823,68.925,35.254,41.137,38.445,30.652,0.578,11
1667,12,47.147,2.142,2358.6,8.064,10.169,146.81,120.65,2.414,10.146,9.912,9.801,68.201,35.25,41.129,38.445,30.629,0.556,12
1307,1,27.43,1.766,2817.4,0.001,9.713,190.94,0,0,0,9.179,9.103,69.202,44.457,49.473,46.578,39.82,0.595,13
1307,2,27.406,1.769,2885.6,0,9.719,190.93,0,0,0,9.158,9.071,0,44.367,49.473,46.559,39.832,0.617,14
1307,3,27.461,1.758,2887.6,0.001,9.727,190.8,0,0,0,9.118,9.028,0,44.25,49.426,46.566,39.809,0.649,15
1307,4,27.429,1.76,2885.8,0.003,9.706,191,0,0,0,9.132,9.053,0,44.207,49.383,46.574,39.82,0.661,16
1307,5,27.477,1.771,2881.8,0.005,9.721,190.82,0,0,0,9.169,9.083,0,44.191,49.367,46.566,39.805,0.666,17
1307,6,27.461,1.772,2880,0.005,9.731,190.74,0,0,0,9.168,9.089,0,44.117,49.297,46.559,39.82,0.666,18
1307,7,27.484,1.765,2883.6,0,9.738,190.84,0,0,0,9.128,9.032,0,44.031,49.297,46.566,39.809,0.665,19
1307,8,27.484,1.767,2884,0,9.724,190.81,0,0,0,9.114,9.03,0,44.035,49.285,46.566,39.82,0.677,20
1307,9,27.508,1.766,2883.8,0.001,9.701,190.82,0,0,0,9.149,9.052,0,44.035,49.285,46.562,39.809,0.673,21
1307,10,27.326,1.757,2736,14.641,9.682,155.27,125.94,4.125,0,9.163,9.076,54.031,43.953,49.207,46.562,39.836,0.688,22
1307,11,27.397,1.758,2278,8.269,9.711,144.91,118.92,2.187,0,9.13,9.042,54.031,43.969,49.191,46.566,39.832,0.66,23
1307,12,27.4,1.762,2265.6,7.913,9.704,144.47,118.64,2.281,0,9.104,9.028,69.764,43.953,49.203,46.559,39.836,0.619,24
1307,13,27.318,1.757,2266,8.085,9.694,144.27,118.43,2.195,0,9.116,9.031,69.764,43.871,49.215,46.566,39.836,0.616,25
1307,14,27.591,1.782,2261.8,7.928,9.691,144.17,118.59,2.102,0,9.141,9.054,69.075,43.953,49.219,46.66,39.836,0.614,26
1307,15,27.58,1.78,2259.8,7.959,9.699,144.17,118.45,2.047,0,9.139,9.058,69.075,44.039,49.223,46.648,39.836,0.597,27
1307,16,27.729,1.792,2261.4,7.865,9.733,144.12,118.54,2.055,0,9.118,9.023,69.054,44.062,49.246,46.656,39.844,0.583,28
1307,17,27.723,1.792,2257.8,7.781,9.739,143.94,118.19,2.172,0,9.132,9.04,69.054,44.059,49.262,46.668,39.844,0.574,29
1307,18,27.676,1.79,2261.4,8.016,9.719,144.17,118.41,2.109,0,9.175,9.085,69.167,44.113,49.273,46.672,39.836,0.568,30
1840,1,46.851,2.142,2927.6,0,10.159,191.11,0.289,0,10.054,9.83,9.715,64.529,36.406,41.992,39.184,31.359,0.54,31
1840,2,46.885,2.138,2964,0.001,10.181,191.09,0,0,10.026,9.797,9.689,0,36.32,41.984,39.172,31.367,0.557,32
1840,3,46.91,2.14,2965.6,0.004,10.16,191.09,0,0,10.07,9.833,9.724,0,36.266,41.965,39.18,31.355,0.567,33
1840,4,46.871,2.143,2965.4,0.001,10.162,190.98,0,0,10.084,9.851,9.734,0,36.246,41.93,39.18,31.359,0.577,34
1840,5,46.79,2.134,2963.6,0.001,10.176,191.04,0,0,10.041,9.811,9.708,0,36.238,41.926,39.168,31.367,0.576,35
1840,6,46.838,2.136,2963.8,0.003,10.169,190.96,0,0,10.087,9.825,9.707,0,36.16,41.926,39.18,31.367,0.585,36
1840,7,46.79,2.138,2965.4,0.001,10.129,191,0,0,10.079,9.857,9.74,0,36.09,41.922,39.184,31.375,0.582,37
1840,8,46.754,2.133,2965.6,0,10.161,191.01,0,0,10.048,9.806,9.691,0,36.168,41.922,39.168,31.375,0.58,38
1840,9,46.581,2.124,2963.6,0.001,10.156,191.15,0,0.016,9.998,9.776,9.669,0,36.012,41.922,39.215,31.371,0.588,39
1840,10,46.687,2.132,2547.8,11.65,10.136,152.19,124.12,3.305,10.072,9.828,9.71,64.336,36.012,41.914,39.211,31.406,0.604,40
1840,11,46.72,2.129,2368,7.753,10.138,146.15,119.91,2.406,10.03,9.809,9.693,64.336,36.094,41.883,39.172,31.406,0.569,41
1840,12,46.664,2.121,2361.8,7.603,10.142,146.09,120.3,2.211,10.012,9.774,9.646,64.831,36.094,41.902,39.172,31.395,0.552,42
1840,13,46.774,2.134,2361.8,7.827,10.118,146.02,119.94,2.297,10.02,9.803,9.698,64.831,36.074,41.895,39.184,31.406,0.531,43
1840,14,46.734,2.123,2361.6,7.538,10.124,145.84,120.02,2.172,10.073,9.845,9.729,64.344,36.168,41.895,39.187,31.406,0.531,44
1840,15,46.925,2.146,2361.6,7.774,10.158,145.75,119.84,2.211,10.022,9.797,9.692,64.344,36.168,41.914,39.266,31.406,0.535,45
1840,16,46.925,2.149,2363.6,7.485,10.153,145.92,119.99,2.227,10.054,9.804,9.691,64.106,36.238,41.902,39.254,31.387,0.527,46
1840,17,47.252,2.18,2361.8,7.701,10.143,145.76,119.91,2.211,10.073,9.838,9.731,64.106,36.238,41.855,39.25,31.41,0.521,47
1840,18,47.252,2.186,2359.6,7.5,10.152,145.81,119.97,2.242,10.065,9.828,9.708,64.007,36.234,41.914,39.348,31.383,0.513,48
1840,19,47.285,2.184,2359.8,7.774,10.174,145.81,119.86,2.328,10.027,9.803,9.696,64.007,36.223,41.922,39.348,31.383,0.515,49
1840,20,47.353,2.196,2489.6,7.349,10.16,155.44,129.6,2.359,10.084,9.848,9.734,52.139,36.234,41.91,39.355,31.398,0.527,50
1840,21,46.892,2.163,2493.4,7.473,10.169,155.45,129.73,2.141,10.079,9.852,9.75,52.139,36.234,41.902,39.375,31.395,0.53,51
1840,22,46.73,2.151,2491.6,7.649,10.189,155.31,129.47,2.32,10.062,9.814,9.706,64.929,36.234,41.902,39.348,31.477,0.532,52
1840,23,46.813,2.159,2489.8,7.581,10.172,155.49,129.63,2.227,10.045,9.819,9.715,64.929,36.312,41.91,39.344,31.488,0.527,53
1840,24,46.656,2.155,2493.6,7.386,10.159,155.48,129.65,2.266,10.09,9.854,9.738,64.831,36.227,41.902,39.348,31.465,0.538,54
1840,25,46.707,2.149,2490,7.431,10.156,155.4,129.78,2.187,10.049,9.823,9.704,64.831,36.32,41.91,39.348,31.488,0.537,55
1840,26,46.837,2.156,2493.6,7.611,10.16,155.42,129.66,2.32,10.041,9.795,9.681,65.09,36.316,41.902,39.336,31.48,0.532,56
1840,27,46.553,2.14,2490,7.623,10.158,155.33,129.59,2.164,10.054,9.838,9.73,65.09,36.32,41.902,39.262,31.48,0.529,57
1840,28,46.491,2.14,2492,7.421,10.17,155.34,129.52,2.156,10.092,9.853,9.731,64.957,36.32,41.914,39.273,31.465,0.536,58
1840,29,46.491,2.126,2491.8,7.353,10.182,155.29,129.66,2.187,10.043,9.811,9.698,64.957,36.312,41.91,39.262,31.473,0.533,59
1840,30,46.469,2.129,2629.4,7.429,10.17,165.21,139.74,2.227,10.064,9.828,9.718,53.867,36.398,41.902,39.273,31.477,0.541,60
1665,1,47.227,2.147,2925.2,0.005,10.178,191.62,0.211,0,9.659,9.946,9.823,67.96,35.668,41.273,38.437,30.602,0.548,1
1665,2,47.119,2.143,2951.4,0,10.161,191.51,0,0,9.673,9.942,9.821,0,35.57,41.234,38.445,30.594,0.553,2
1665,3,47.24,2.149,2951.2,0.001,10.189,191.55,0,0,9.626,9.905,9.781,0,35.508,41.246,38.414,30.602,0.563,3
1665,4,47.324,2.142,2949.6,0,10.171,191.51,0,0,9.648,9.927,9.812,0,35.488,41.242,38.437,30.617,0.566,4
1665,5,47.408,2.15,2948,0,10.165,191.38,0,0,9.697,9.964,9.839,0,35.453,41.223,38.418,30.617,0.56,5
1665,6,47.433,2.147,2948,0,10.181,191.59,0,0,9.652,9.918,9.806,0,35.422,41.156,38.43,30.617,0.566,6
1008,1,27.498,1.72,2778.8,0,9.637,190.09,0.187,0,0,9.025,8.942,66.571,45.883,50.715,47.937,41.328,0.617,7
1008,2,27.512,1.718,2887.6,0,9.62,190.57,0,0,0,9.039,8.96,0,45.809,50.715,47.93,41.324,0.643,8
1008,3,27.686,1.73,2888,0.001,9.626,190.42,0,0,0,9.061,8.97,0,45.754,50.672,47.93,41.312,0.674,9
1008,4,27.548,1.715,2890,0,9.646,190.48,0,0,0,9.024,8.95,0,45.727,50.641,47.941,41.336,0.688,10
1008,5,27.756,1.737,2887.8,0.001,9.643,190.55,0,0,0,9.014,8.928,0,45.617,50.633,48.016,41.301,0.682,11
1008,6,27.743,1.739,2887.6,0.003,9.637,190.48,0,0,0,9.022,8.941,0,45.551,50.648,48.008,41.328,0.674,12
1008,7,27.722,1.735,2891.4,0.005,9.636,190.5,0,0,0,9.061,8.979,0,45.562,50.586,48.031,41.328,0.678,13
1008,8,27.754,1.74,2887.8,0.001,9.631,190.6,0,0,0,9.056,8.973,0,45.473,50.559,48.031,41.316,0.684,14
