sensor,instancia,valor,sensor_ciclo,cooler,valve,leakage,accumulator,stable,classificacao,row_number,__index_level_0__,ciclo_ajustado,valor_acumulado,saúde,valor_normalizado,falha_cooler,falha_valve,falha_leakage,falha_accumulator
ce,67,19.618,ce_41,3,100,0,130,1,3-100-0-130-1,2926600,2926600,41.0,817.2629999999999,60.0,0.08117220734205127,1,0,0,0
ce,67,19.735,ce_42,3,100,0,130,1,3-100-0-130-1,2926601,2926601,42.0,836.9979999999999,60.0,0.08485898849850317,1,0,0,0
ce,67,19.975,ce_43,3,100,0,130,1,3-100-0-130-1,2926602,2926602,43.0,856.973,60.0,0.09242161651173783,1,0,0,0
ce,67,20.023,ce_44,3,100,0,130,1,3-100-0-130-1,2926603,2926603,44.0,876.996,60.0,0.0939341421143847,1,0,0,0
ce,67,20.239,ce_45,3,100,0,130,1,3-100-0-130-1,2926604,2926604,45.0,897.235,60.0,0.10074050732629586,1,0,0,0
ce,67,19.963,ce_46,3,100,0,130,1,3-100-0-130-1,2926605,2926605,46.0,917.198,60.0,0.09204348511107609,1,0,0,0
ce,67,19.988,ce_47,3,100,0,130,1,3-100-0-130-1,2926606,2926606,47.0,937.1859999999999,60.0,0.09283125886245464,1,0,0,0
ce,67,20.003,ce_48,3,100,0,130,1,3-100-0-130-1,2926607,2926607,48.0,957.189,60.0,0.09330392311328183,1,0,0,0
ce,67,19.826,ce_49,3,100,0,130,1,3-100-0-130-1,2926608,2926608,49.0,977.015,60.0,0.08772648495352131,1,0,0,0
ce,67,19.993,ce_50,3,100,0,130,1,3-100-0-130-1,2926609,2926609,50.0,997.008,60.0,0.09298881361273033,1,0,0,0
ce,67,19.993,ce_51,3,100,0,130,1,3-100-0-130-1,2926610,2926610,51.0,1017.0010000000001,60.0,0.09298881361273033,1,0,0,0
ce,67,20.041,ce_52,3,100,0,130,1,3-100-0-130-1,2926611,2926611,52.0,1037.0420000000001,60.0,0.0945013392153773,1,0,0,0
ce,67,20.332,ce_53,3,100,0,130,1,3-100-0-130-1,2926612,2926612,53.0,1057.3740000000003,60.0,0.10367102568142426,1,0,0,0
ce,67,20.352,ce_54,3,100,0,130,1,3-100-0-130-1,2926613,2926613,54.0,1077.7260000000003,60.0,0.10430124468252713,1,0,0,0
ce,67,20.082,ce_55,3,100,0,130,1,3-100-0-130-1,2926614,2926614,55.0,1097.8080000000004,60.0,0.09579328816763823,1,0,0,0
ce,67,20.218,ce_56,3,100,0,130,1,3-100-0-130-1,2926615,2926615,56.0,1118.0260000000005,60.0,0.10007877737513782,1,0,0,0
ce,67,19.98,ce_57,3,100,0,130,1,3-100-0-130-1,2926616,2926616,57.0,1138.0060000000005,60.0,0.09257917126201351,1,0,0,0
ce,67,19.993,ce_58,3,100,0,130,1,3-100-0-130-1,2926617,2926617,58.0,1157.9990000000005,60.0,0.09298881361273033,1,0,0,0
ce,67,19.803,ce_59,3,100,0,130,1,3-100-0-130-1,2926618,2926618,59.0,1177.8020000000006,60.0,0.08700173310225301,1,0,0,0
ce,67,20.041,ce_60,3,100,0,130,1,3-100-0-130-1,2926619,2926619,60.0,1197.8430000000005,60.0,0.0945013392153773,1,0,0,0
ce,119,19.704,ce_1,3,100,0,130,1,3-100-0-130-1,5197920,5197920,1.0,19.704,60.0,0.08388214904679374,1,0,0,0
ce,119,19.683,ce_2,3,100,0,130,1,3-100-0-130-1,5197921,5197921,2.0,39.387,60.0,0.08322041909563568,1,0,0,0
ce,119,19.706,ce_3,3,100,0,130,1,3-100-0-130-1,5197922,5197922,3.0,59.093,60.0,0.08394517094690399,1,0,0,0
ce,119,19.706,ce_4,3,100,0,130,1,3-100-0-130-1,5197923,5197923,4.0,78.799,60.0,0.08394517094690399,1,0,0,0
ce,119,19.92,ce_5,3,100,0,130,1,3-100-0-130-1,5197924,5197924,5.0,98.71900000000001,60.0,0.0906885142587049,1,0,0,0
ce,119,19.92,ce_6,3,100,0,130,1,3-100-0-130-1,5197925,5197925,6.0,118.63900000000001,60.0,0.0906885142587049,1,0,0,0
ce,119,19.92,ce_7,3,100,0,130,1,3-100-0-130-1,5197926,5197926,7.0,138.55900000000003,60.0,0.0906885142587049,1,0,0,0
ce,119,19.907,ce_8,3,100,0,130,1,3-100-0-130-1,5197927,5197927,8.0,158.46600000000004,60.0,0.09027887190798797,1,0,0,0
ce,119,19.862,ce_9,3,100,0,130,1,3-100-0-130-1,5197928,5197928,9.0,178.32800000000003,60.0,0.08886087915550643,1,0,0,0
ce,119,19.887,ce_10,3,100,0,130,1,3-100-0-130-1,5197929,5197929,10.0,198.21500000000003,60.0,0.0896486529068851,1,0,0,0
ce,119,19.852,ce_11,3,100,0,130,1,3-100-0-130-1,5197930,5197930,11.0,218.06700000000004,60.0,0.08854576965495506,1,0,0,0
ce,119,19.978,ce_12,3,100,0,130,1,3-100-0-130-1,5197931,5197931,12.0,238.04500000000004,60.0,0.09251614936190326,1,0,0,0
ce,119,19.986,ce_13,3,100,0,130,1,3-100-0-130-1,5197932,5197932,13.0,258.03100000000006,60.0,0.09276823696234439,1,0,0,0
ce,119,20.009,ce_14,3,100,0,130,1,3-100-0-130-1,5197933,5197933,14.0,278.0400000000001,60.0,0.09349298881361269,1,0,0,0
ce,119,20.067,ce_15,3,100,0,130,1,3-100-0-130-1,5197934,5197934,15.0,298.1070000000001,60.0,0.09532062391681105,1,0,0,0
ce,119,19.993,ce_16,3,100,0,130,1,3-100-0-130-1,5197935,5197935,16.0,318.1000000000001,60.0,0.09298881361273033,1,0,0,0
ce,119,20.208,ce_17,3,100,0,130,1,3-100-0-130-1,5197936,5197936,17.0,338.3080000000001,60.0,0.09976366787458632,1,0,0,0
ce,119,20.084,ce_18,3,100,0,130,1,3-100-0-130-1,5197937,5197937,18.0,358.3920000000001,60.0,0.09585631006774849,1,0,0,0
ce,119,20.084,ce_19,3,100,0,130,1,3-100-0-130-1,5197938,5197938,19.0,378.4760000000001,60.0,0.09585631006774849,1,0,0,0
ce,119,20.089,ce_20,3,100,0,130,1,3-100-0-130-1,5197939,5197939,20.0,398.5650000000001,60.0,0.09601386481802417,1,0,0,0
ce,119,20.12,ce_21,3,100,0,130,1,3-100-0-130-1,5197940,5197940,21.0,418.6850000000001,60.0,0.09699070426973372,1,0,0,0
ce,119,20.399,ce_22,3,100,0,130,1,3-100-0-130-1,5197941,5197941,22.0,439.0840000000001,60.0,0.10578225933511894,1,0,0,0
ce,119,20.45,ce_23,3,100,0,130,1,3-100-0-130-1,5197942,5197942,23.0,459.5340000000001,60.0,0.10738931778793123,1,0,0,0
ce,119,20.362,ce_24,3,100,0,130,1,3-100-0-130-1,5197943,5197943,24.0,479.89600000000013,60.0,0.10461635418307852,1,0,0,0
ce,119,20.208,ce_25,3,100,0,130,1,3-100-0-130-1,5197944,5197944,25.0,500.10400000000016,60.0,0.09976366787458632,1,0,0,0
ce,119,20.226,ce_26,3,100,0,130,1,3-100-0-130-1,5197945,5197945,26.0,520.3300000000002,60.0,0.10033086497557894,1,0,0,0
ce,119,20.068,ce_27,3,100,0,130,1,3-100-0-130-1,5197946,5197946,27.0,540.3980000000001,60.0,0.09535213486686624,1,0,0,0
ce,119,20.228,ce_28,3,100,0,130,1,3-100-0-130-1,5197947,5197947,28.0,560.6260000000001,60.0,0.1003938868756893,1,0,0,0
ce,119,20.193,ce_29,3,100,0,130,1,3-100-0-130-1,5197948,5197948,29.0,580.8190000000001,60.0,0.09929100362375926,1,0,0,0
ce,119,19.944,ce_30,3,100,0,130,1,3-100-0-130-1,5197949,5197949,30.0,600.763,60.0,0.09144477706002828,1,0,0,0
ce,119,19.857,ce_31,3,100,0,130,1,3-100-0-130-1,5197950,5197950,31.0,620.62,60.0,0.08870332440523075,1,0,0,0
ce,119,19.814,ce_32,3,100,0,130,1,3-100-0-130-1,5197951,5197951,32.0,640.434,60.0,0.08734835355285957,1,0,0,0
ce,119,20.007,ce_33,3,100,0,130,1,3-100-0-130-1,5197952,5197952,33.0,660.4409999999999,60.0,0.09342996691350244,1,0,0,0
ce,119,19.901,ce_34,3,100,0,130,1,3-100-0-130-1,5197953,5197953,34.0,680.3419999999999,60.0,0.09008980620765711,1,0,0,0
ce,119,19.896,ce_35,3,100,0,130,1,3-100-0-130-1,5197954,5197954,35.0,700.2379999999998,60.0,0.08993225145738142,1,0,0,0
ce,119,19.741,ce_36,3,100,0,130,1,3-100-0-130-1,5197955,5197955,36.0,719.9789999999998,60.0,0.08504805419883403,1,0,0,0
ce,119,19.61,ce_37,3,100,0,130,1,3-100-0-130-1,5197956,5197956,37.0,739.5889999999998,60.0,0.08092011974161015,1,0,0,0
ce,119,19.729,ce_38,3,100,0,130,1,3-100-0-130-1,5197957,5197957,38.0,759.3179999999999,60.0,0.08466992279817229,1,0,0,0
ce,119,19.423,ce_39,3,100,0,130,1,3-100-0-130-1,5197958,5197958,39.0,778.7409999999999,60.0,0.07502757208129815,1,0,0,0
ce,119,19.443,ce_40,3,100,0,130,1,3-100-0-130-1,5197959,5197959,40.0,798.1839999999999,60.0,0.07565779108240113,1,0,0,0
ce,119,19.463,ce_41,3,100,0,130,1,3-100-0-130-1,5197960,5197960,41.0,817.6469999999998,60.0,0.076288010083504,1,0,0,0
ce,119,19.466,ce_42,3,100,0,130,1,3-100-0-130-1,5197961,5197961,42.0,837.1129999999998,60.0,0.07638254293366943,1,0,0,0
ce,119,19.405,ce_43,3,100,0,130,1,3-100-0-130-1,5197962,5197962,43.0,856.5179999999998,60.0,0.07446037498030564,1,0,0,0
ce,119,19.611,ce_44,3,100,0,130,1,3-100-0-130-1,5197963,5197963,44.0,876.1289999999998,60.0,0.08095163069166532,1,0,0,0
ce,119,19.583,ce_45,3,100,0,130,1,3-100-0-130-1,5197964,5197964,45.0,895.7119999999998,60.0,0.08006932409012121,1,0,0,0
ce,119,19.474,ce_46,3,100,0,130,1,3-100-0-130-1,5197965,5197965,46.0,915.1859999999998,60.0,0.07663463053411056,1,0,0,0
ce,119,19.367,ce_47,3,100,0,130,1,3-100-0-130-1,5197966,5197966,47.0,934.5529999999998,60.0,0.07326295887821016,1,0,0,0
ce,119,19.347,ce_48,3,100,0,130,1,3-100-0-130-1,5197967,5197967,48.0,953.8999999999997,60.0,0.07263273987710729,1,0,0,0
ce,119,19.354,ce_49,3,100,0,130,1,3-100-0-130-1,5197968,5197968,49.0,973.2539999999998,60.0,0.07285331652749323,1,0,0,0
ce,119,19.329,ce_50,3,100,0,130,1,3-100-0-130-1,5197969,5197969,50.0,992.5829999999997,60.0,0.07206554277611467,1,0,0,0
ce,119,19.359,ce_51,3,100,0,130,1,3-100-0-130-1,5197970,5197970,51.0,1011.9419999999998,60.0,0.07301087127776903,1,0,0,0
ce,119,19.336,ce_52,3,100,0,130,1,3-100-0-130-1,5197971,5197971,52.0,1031.2779999999998,60.0,0.07228611942650061,1,0,0,0
ce,119,19.61,ce_53,3,100,0,130,1,3-100-0-130-1,5197972,5197972,53.0,1050.8879999999997,60.0,0.08092011974161015,1,0,0,0
ce,119,19.538,ce_54,3,100,0,130,1,3-100-0-130-1,5197973,5197973,54.0,1070.4259999999997,60.0,0.0786513313376398,1,0,0,0
ce,119,19.485,ce_55,3,100,0,130,1,3-100-0-130-1,5197974,5197974,55.0,1089.9109999999996,60.0,0.07698125098471713,1,0,0,0
ce,119,19.531,ce_56,3,100,0,130,1,3-100-0-130-1,5197975,5197975,56.0,1109.4419999999996,60.0,0.07843075468725373,1,0,0,0
ce,119,19.523,ce_57,3,100,0,130,1,3-100-0-130-1,5197976,5197976,57.0,1128.9649999999995,60.0,0.0781786670868126,1,0,0,0
ce,119,19.782,ce_58,3,100,0,130,1,3-100-0-130-1,5197977,5197977,58.0,1148.7469999999994,60.0,0.08634000315109495,1,0,0,0
ce,119,19.825,ce_59,3,100,0,130,1,3-100-0-130-1,5197978,5197978,59.0,1168.5719999999994,60.0,0.08769497400346614,1,0,0,0
ce,119,19.911,ce_60,3,100,0,130,1,3-100-0-130-1,5197979,5197979,60.0,1188.4829999999995,60.0,0.09040491570820859,1,0,0,0
ce,452,20.06,ce_1,3,90,0,115,0,3-90-0-115-0,19743360,19743360,1.0,20.06,70.0,0.095100047266425,1,1,0,1
ce,452,19.821,ce_2,3,90,0,115,0,3-90-0-115-0,19743361,19743361,2.0,39.881,70.0,0.08756893020324563,1,1,0,1
ce,452,19.859,ce_3,3,90,0,115,0,3-90-0-115-0,19743362,19743362,3.0,59.74,70.0,0.08876634630534111,1,1,0,1
ce,452,19.762,ce_4,3,90,0,115,0,3-90-0-115-0,19743363,19743363,4.0,79.50200000000001,70.0,0.08570978414999209,1,1,0,1
ce,452,19.724,ce_5,3,90,0,115,0,3-90-0-115-0,19743364,19743364,5.0,99.22600000000001,70.0,0.08451236804789661,1,1,0,1
ce,452,19.543,ce_6,3,90,0,115,0,3-90-0-115-0,19743365,19743365,6.0,118.769,70.0,0.07880888608791548,1,1,0,1
ce,452,19.6,ce_7,3,90,0,115,0,3-90-0-115-0,19743366,19743366,7.0,138.369,70.0,0.08060501024105876,1,1,0,1
ce,452,19.523,ce_8,3,90,0,115,0,3-90-0-115-0,19743367,19743367,8.0,157.892,70.0,0.0781786670868126,1,1,0,1
ce,452,19.704,ce_9,3,90,0,115,0,3-90-0-115-0,19743368,19743368,9.0,177.596,70.0,0.08388214904679374,1,1,0,1
ce,452,19.697,ce_10,3,90,0,115,0,3-90-0-115-0,19743369,19743369,10.0,197.293,70.0,0.08366157239640767,1,1,0,1
ce,452,19.613,ce_11,3,90,0,115,0,3-90-0-115-0,19743370,19743370,11.0,216.906,70.0,0.08101465259177558,1,1,0,1
ce,452,19.481,ce_12,3,90,0,115,0,3-90-0-115-0,19743371,19743371,12.0,236.387,70.0,0.07685520718449662,1,1,0,1
ce,452,19.523,ce_13,3,90,0,115,0,3-90-0-115-0,19743372,19743372,13.0,255.91,70.0,0.0781786670868126,1,1,0,1
ce,452,19.563,ce_14,3,90,0,115,0,3-90-0-115-0,19743373,19743373,14.0,275.473,70.0,0.07943910508901834,1,1,0,1
ce,452,19.425,ce_15,3,90,0,115,0,3-90-0-115-0,19743374,19743374,15.0,294.898,70.0,0.07509059398140851,1,1,0,1
ce,452,19.422,ce_16,3,90,0,115,0,3-90-0-115-0,19743375,19743375,16.0,314.32000000000005,70.0,0.07499606113124307,1,1,0,1
ce,452,19.462,ce_17,3,90,0,115,0,3-90-0-115-0,19743376,19743376,17.0,333.78200000000004,70.0,0.07625649913344881,1,1,0,1
ce,452,19.797,ce_18,3,90,0,115,0,3-90-0-115-0,19743377,19743377,18.0,353.57900000000006,70.0,0.08681266740192214,1,1,0,1
ce,452,19.988,ce_19,3,90,0,115,0,3-90-0-115-0,19743378,19743378,19.0,373.56700000000006,70.0,0.09283125886245464,1,1,0,1
ce,452,19.938,ce_20,3,90,0,115,0,3-90-0-115-0,19743379,19743379,20.0,393.50500000000005,70.0,0.09125571135969741,1,1,0,1
ce,452,20.127,ce_21,3,90,0,115,0,3-90-0-115-0,19743380,19743380,21.0,413.63200000000006,70.0,0.09721128092011966,1,1,0,1
ce,452,19.827,ce_22,3,90,0,115,0,3-90-0-115-0,19743381,19743381,22.0,433.45900000000006,70.0,0.0877579959035765,1,1,0,1
ce,452,19.804,ce_23,3,90,0,115,0,3-90-0-115-0,19743382,19743382,23.0,453.26300000000003,70.0,0.08703324405230808,1,1,0,1
ce,452,19.857,ce_24,3,90,0,115,0,3-90-0-115-0,19743383,19743383,24.0,473.12,70.0,0.08870332440523075,1,1,0,1
ce,452,19.72,ce_25,3,90,0,115,0,3-90-0-115-0,19743384,19743384,25.0,492.84000000000003,70.0,0.08438632424767599,1,1,0,1
ce,452,19.551,ce_26,3,90,0,115,0,3-90-0-115-0,19743385,19743385,26.0,512.3910000000001,70.0,0.0790609736883566,1,1,0,1
ce,452,19.501,ce_27,3,90,0,115,0,3-90-0-115-0,19743386,19743386,27.0,531.892,70.0,0.07748542618559949,1,1,0,1
ce,452,19.617,ce_28,3,90,0,115,0,3-90-0-115-0,19743387,19743387,28.0,551.509,70.0,0.0811406963919962,1,1,0,1
ce,452,19.926,ce_29,3,90,0,115,0,3-90-0-115-0,19743388,19743388,29.0,571.4350000000001,70.0,0.09087757995903567,1,1,0,1
ce,452,20.289,ce_30,3,90,0,115,0,3-90-0-115-0,19743389,19743389,30.0,591.724,70.0,0.1023160548290531,1,1,0,1
ce,452,20.252,ce_31,3,90,0,115,0,3-90-0-115-0,19743390,19743390,31.0,611.976,70.0,0.10115014967701268,1,1,0,1
ce,452,20.21,ce_32,3,90,0,115,0,3-90-0-115-0,19743391,19743391,32.0,632.186,70.0,0.09982668977469669,1,1,0,1
ce,452,20.003,ce_33,3,90,0,115,0,3-90-0-115-0,19743392,19743392,33.0,652.1890000000001,70.0,0.09330392311328183,1,1,0,1
ce,452,19.562,ce_34,3,90,0,115,0,3-90-0-115-0,19743393,19743393,34.0,671.7510000000001,70.0,0.07940759413896328,1,1,0,1
ce,452,19.447,ce_35,3,90,0,115,0,3-90-0-115-0,19743394,19743394,35.0,691.1980000000001,70.0,0.07578383488262164,1,1,0,1
ce,452,19.397,ce_36,3,90,0,115,0,3-90-0-115-0,19743395,19743395,36.0,710.5950000000001,70.0,0.0742082873798644,1,1,0,1
ce,452,19.509,ce_37,3,90,0,115,0,3-90-0-115-0,19743396,19743396,37.0,730.1040000000002,70.0,0.07773751378604062,1,1,0,1
ce,452,19.818,ce_38,3,90,0,115,0,3-90-0-115-0,19743397,19743397,38.0,749.9220000000001,70.0,0.08747439735308019,1,1,0,1
ce,452,19.883,ce_39,3,90,0,115,0,3-90-0-115-0,19743398,19743398,39.0,769.8050000000002,70.0,0.08952260910666449,1,1,0,1
ce,452,19.87,ce_40,3,90,0,115,0,3-90-0-115-0,19743399,19743399,40.0,789.6750000000002,70.0,0.08911296675594768,1,1,0,1
ce,452,19.77,ce_41,3,90,0,115,0,3-90-0-115-0,19743400,19743400,41.0,809.4450000000002,70.0,0.08596187175043321,1,1,0,1
ce,452,19.618,ce_42,3,90,0,115,0,3-90-0-115-0,19743401,19743401,42.0,829.0630000000002,70.0,0.08117220734205127,1,1,0,1
ce,452,19.32,ce_43,3,90,0,115,0,3-90-0-115-0,19743402,19743402,43.0,848.3830000000003,70.0,0.07178194422561836,1,1,0,1
ce,452,19.31,ce_44,3,90,0,115,0,3-90-0-115-0,19743403,19743403,44.0,867.6930000000002,70.0,0.07146683472506687,1,1,0,1
ce,452,19.185,ce_45,3,90,0,115,0,3-90-0-115-0,19743404,19743404,45.0,886.8780000000002,70.0,0.06752796596817386,1,1,0,1
ce,452,19.084,ce_46,3,90,0,115,0,3-90-0-115-0,19743405,19743405,46.0,905.9620000000001,70.0,0.06434536001260432,1,1,0,1
ce,452,19.027,ce_47,3,90,0,115,0,3-90-0-115-0,19743406,19743406,47.0,924.9890000000001,70.0,0.06254923585946115,1,1,0,1
ce,452,18.73,ce_48,3,90,0,115,0,3-90-0-115-0,19743407,19743407,48.0,943.7190000000002,70.0,0.05319048369308331,1,1,0,1
ce,452,18.717,ce_49,3,90,0,115,0,3-90-0-115-0,19743408,19743408,49.0,962.4360000000001,70.0,0.05278084134236639,1,1,0,1
ce,452,18.95,ce_50,3,90,0,115,0,3-90-0-115-0,19743409,19743409,50.0,981.3860000000002,70.0,0.06012289270521499,1,1,0,1
ce,452,18.96,ce_51,3,90,0,115,0,3-90-0-115-0,19743410,19743410,51.0,1000.3460000000002,70.0,0.060438002205766485,1,1,0,1
ce,452,18.965,ce_52,3,90,0,115,0,3-90-0-115-0,19743411,19743411,52.0,1019.3110000000003,70.0,0.06059555695604217,1,1,0,1
ce,452,18.992,ce_53,3,90,0,115,0,3-90-0-115-0,19743412,19743412,53.0,1038.3030000000003,70.0,0.0614463526075311,1,1,0,1
ce,452,18.96,ce_54,3,90,0,115,0,3-90-0-115-0,19743413,19743413,54.0,1057.2630000000004,70.0,0.060438002205766485,1,1,0,1
ce,452,18.955,ce_55,3,90,0,115,0,3-90-0-115-0,19743414,19743414,55.0,1076.2180000000003,70.0,0.06028044745549068,1,1,0,1
ce,452,18.992,ce_56,3,90,0,115,0,3-90-0-115-0,19743415,19743415,56.0,1095.2100000000003,70.0,0.0614463526075311,1,1,0,1
ce,452,18.98,ce_57,3,90,0,115,0,3-90-0-115-0,19743416,19743416,57.0,1114.1900000000003,70.0,0.061068221206869354,1,1,0,1
ce,452,18.955,ce_58,3,90,0,115,0,3-90-0-115-0,19743417,19743417,58.0,1133.1450000000002,70.0,0.06028044745549068,1,1,0,1
ce,452,19.223,ce_59,3,90,0,115,0,3-90-0-115-0,19743418,19743418,59.0,1152.3680000000002,70.0,0.06872538207026933,1,1,0,1
ce,452,19.3,ce_60,3,90,0,115,0,3-90-0-115-0,19743419,19743419,60.0,1171.6680000000001,70.0,0.07115172522451549,1,1,0,1
ce,458,19.335,ce_1,3,100,0,115,0,3-100-0-115-0,20005440,20005440,1.0,19.335,75.0,0.07225460847644555,1,0,0,1
ce,458,19.27,ce_2,3,100,0,115,0,3-100-0-115-0,20005441,20005441,2.0,38.605000000000004,75.0,0.07020639672286114,1,0,0,1
ce,458,19.486,ce_3,3,100,0,115,0,3-100-0-115-0,20005442,20005442,3.0,58.09100000000001,75.0,0.0770127619347723,1,0,0,1
ce,458,19.328,ce_4,3,100,0,115,0,3-100-0-115-0,20005443,20005443,4.0,77.41900000000001,75.0,0.07203403182605948,1,0,0,1
ce,458,19.315,ce_5,3,100,0,115,0,3-100-0-115-0,20005444,20005444,5.0,96.73400000000001,75.0,0.07162438947534268,1,0,0,1
